occupation,soc_code
"Investigators, Tax ",13-2081
Investment Bankers,41-3031
Invisible Braces Orthodontists,29-1023
Invoice Control Clerks,43-3021
"Ironers, Clothes ",51-6021
"Ironworkers, Bridge ",47-2221
"Ironworkers, Post Tensioning ",47-2171
"Ironworkers, Precast Concrete ",47-2221
Irradiated Fuel Handlers,47-4041
Irrigation Equipment Mechanics,49-3041
Irrigation Workers,45-2099
Isotope Hydrologists,19-2043
Jacquard Loom Weavers,51-6063
Jailers,33-3012
"Janitorial Workers, First-Line Supervisors",37-1011
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011
"Janitors, Except Maids and Housekeeping Cleaners",37-2011
Java Programming Professors,25-1021
Jewel Bearing Facers,51-4033
Jewelers,51-9071
Jewelers and Precious Stone and Metal Workers,51-9070
Jewelers and Precious Stone and Metal Workers,51-9071
Jewelry Polishers,51-9022
Jewish History Professors,25-1125
Jig Bore Tool Makers,51-4111
Jig Boring Machine Operators for Metal,51-4011
Jingle Writers,27-2041
Job Analysis Managers,11-3121
Job Analysis Specialists,13-1141
Job Analysts,13-1141
Jockeys,27-2021
"Jockeys, Radio Disk ",27-3011
"Joiners, Stained Glass ",47-2121
Joint Strategic Plans and Policy Officers,55-1019
Journalism Professors,25-1122
Judges,23-1023
"Judges, Administrative Law",23-1021
"Judges, Circuit Court ",23-1023
"Judges, Competition",27-2023
"Judges, Magistrate",23-1023
"Judges, Magistrate Judges, and Magistrates",23-1023
"Judges, Magistrates, and Other Judicial Workers",23-1020
"Judges, Paddock ",27-2023
"Judges, Tribal ",23-1023
Judicial Clerks,23-1012
Judicial Law Clerks,23-1012
"Jumpers, Smoke ",33-2011
Junior High School Teachers,25-2022
Justices,23-1023
Justices of the Peace,23-1021
Juvenile Corrections Officers,33-3012
Juvenile Probation Officers,21-1092
"Keepers, Lighthouse ",53-6011
Keg Fillers,51-9111
Kennel Worker,39-2021
Keno Runners,39-3012
Kettle Operators,51-9051
Kettle Tenders,51-9051
Key Makers,49-9094
"Keyers, Data Entry",43-9021
Kiln Door Builders,49-9045
Kiln Operators,51-9051
Kiln Tenders,51-9051
"Kindergarten Teachers, Except Special Education",25-2012
Kinesiology Professors,25-1193
Kinesiotherapists,29-1128
Kitchen Designers,27-1025
Kitchen Stewards,35-9099
Kitchen Supervisors,35-1012
Knife Grinders,51-9022
Kosher Butchers,51-3021
Labor Economics Professors,25-1063
Labor Relations Consultants,13-1075
Labor Relations Directors,11-3121
Labor Relations Specialists,13-1075
Labor Training Managers,11-3131
Laboratory Animal Caretakers,31-9096
Laboratory Couriers,43-5021
"Laborers and Freight, Stock, and Material Movers, Hand",53-7062
"Laborers and Material Movers, Hand",53-7060
"Laborers, Construction",47-2061
"Laborers, Construction Craft ",47-2061
"Laborers, Crop, Nursery, and Greenhouse",45-2092
"Laborers, Forestry ",45-4011
"Laborers, Hand",53-7062
"Laborers, Hand, First-Line Supervisors",53-1021
"Laborers, Rangelands Conservation  ",45-4011
"Laborers, Shrimp Pond ",45-2093
"Laborers, Wetlands Conservation ",45-4011
"Laborers, Wharf ",53-7062
Lacquer Spray Booth Operators,51-9121
Ladle Repairers,49-9045
"Laminators, Fiberglass",51-2091
Land Appraisers,13-2021
Land Leasing Information Clerks,43-4171
Land Managers,11-9141
Land Surveyors,17-1022
Landing Signal Officers,55-1012
Landing Support Specialists,55-3019
Landscape Architects,17-1012
Landscape Architecture Professors,25-1031
Landscape Designers,17-1012
Landscaping and Groundskeeping Workers,37-3011
Landscaping Workers,37-3011
"Landscaping Workers, First-Line Supervisors",37-1012
"Lapping Machine Tool Operators, Metal and Plastic",51-4033
"Lapping Machine Tool Setters, Metal and Plastic",51-4033
"Lapping Machine Tool Tenders, Metal and Plastic",51-4033
Laser Beam Machine Operators,51-4122
Laser Cutter Operators,51-4122
Lasting Machine Operators,51-6042
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4034
"Lathe Machine Tool Operators, Metal and Plastic",51-4034
"Lathe Machine Tool Setters, Metal and Plastic",51-4034
"Lathe Machine Tool Tenders, Metal and Plastic",51-4034
Latin American Studies Professors,25-1062
Launch Operators,53-5022
Laundry and Dry-Cleaning Workers,51-6010
Laundry and Dry-Cleaning Workers,51-6011
Laundry Attendants,51-6011
Laundry Equipment Operators,51-6011
Laundry Sorters,51-6011
Laundry Workers,51-6011
"Law Enforcement Teachers, Postsecondary",25-1111
Law Enforcement Workers,33-3000
Law Librarians,25-4021
Law Secretaries,43-6012
"Law Teachers, Postsecondary",25-1112
"Law, Criminal Justice, and Social Work Teachers, Postsecondary",25-1110
Lawn Caretakers,37-3011
Lawn Mower Repairers,49-3053
"Lawn Service Workers, First-Line Supervisors",37-1012
Lawyers,23-1011
Lawyers and Judicial Law Clerks,23-1010
"Lawyers, Judges, and Related Workers",23-1000
Lay Health Advocates,21-1094
"Layers, Adobe ",47-2021
"Layers, Carpet ",47-2041
"Layers, Cast-Iron Drain Pipe ",47-2151
"Layers, Composition Floor",47-2042
"Layers, Floor, Except Carpet, Wood and Hard Tiles",47-2042
"Layers, Parquet Floor ",47-2044
"Layers, Shock-Absorption Floor ",47-2042
"Layers, Trench Pipe ",47-2151
"Layers, Water Main Pipe ",47-2151
"Layers, Wood Floor ",47-2031
"Layout Workers, Metal",51-4192
"Layout Workers, Metal and Plastic",51-4192
"Layout Workers, Plastic",51-4192
Lead Sawyers,51-7041
Lead Team Assemblers,51-2092
"Leaders, Infantry Unit ",55-2012
"Leaders, Military Officer Special Operations, All Other",55-1019
"Leaders, Military Officer Tactical Operations, All Other",55-1019
Leased Housing Unit Managers,11-9141
Leasing Property Managers,11-9141
Leather Repairers,51-6041
Leather Workers,51-6041
Legal Administrative Assistants,43-6012
Legal Aides,23-2011
Legal Assistants,23-2011
Legal Occupations,23-0000
Legal Secretaries,43-6012
Legal Support Workers,23-2000
"Legal Support Workers, All Other",23-2099
"Legal Support Workers, Miscellaneous",23-2090
Legal Technicians,23-2099
Legislators,11-1030
Legislators,11-1031
Leisure Studies Professors,25-1193
"Lenders, Commercial ",13-2072
Lens Grinders,51-9083
Lens Mounters,51-9083
Letter Carriers,43-5052
Librarians,25-4020
Librarians,25-4021
"Librarians, Curators, and Archivists",25-4000
"Librarians, Law ",25-4021
"Librarians, Music ",25-4021
"Librarians, School ",25-4021
Library Acquisitions Technicians,25-4031
Library and Information Science Professors,25-1082
"Library Assistants, Clerical",43-4120
"Library Assistants, Clerical",43-4121
Library Circulation Technicians,25-4031
Library Media Specialists,25-9011
"Library Science Teachers, Postsecondary",25-1082
Library Technicians,25-4030
Library Technicians,25-4031
"Library Workers, All Other",25-9099
License Clerks,43-4031
Licensed Clinical Mental Health Counselors (LCMHC),21-1014
Licensed Embalmers,39-4011
Licensed Massage Therapists,31-9011
Licensed Mental Health Counselors (LMHC),21-1014
Licensed Occupational Therapist Assistants,31-2011
Licensed Physical Therapist Assistants,31-2021
Licensed Practical and Licensed Vocational Nurses,29-2060
Licensed Practical and Licensed Vocational Nurses,29-2061
Licensed Practical Nurses,29-2061
Licensed Real Estate Brokers,41-9021
Licensed Tax Consultants,13-2082
Licenses Vocational Nurses,29-2061
Lien Searchers,23-2093
"Lieutenants, Detective ",33-1012
"Lieutenants, Fire Lieutenant",33-1021
"Lieutenants, Police ",33-1012
Life Insurance Salespersons,41-3021
Life Science Taxonomists,19-1099
"Life Science Technicians, All Other",19-4099
"Life Sciences Teachers, Postsecondary",25-1040
Life Scientists,19-1000
"Life Scientists, All Other",19-1099
"Life Scientists, Miscellaneous",19-1090
"Life, Physical, and Social Science Occupations",19-0000
"Life, Physical, and Social Science Technicians",19-4000
"Life, Physical, and Social Science Technicians, All Other",19-4099
"Life, Physical, and Social Science Technicians, Miscellaneous",19-4090
Lifeguards,33-9092
"Lifeguards, Beach ",33-9092
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092
Light Rail Signal Technicians,49-9097
Light Rail Transit Operators,53-4041
Light Truck Drivers,53-3033
Light Truck or Delivery Services Drivers,53-3033
Lighthouse Keepers,53-6011
Lighting Engineering Technicians,17-3023
Lime Filter Operators,51-8099
Lime Kiln Operators,51-9051
Limousine Drivers,53-3041
Line Cooks,35-2014
Line Installers and Repairers,49-9050
"Lineworkers, Electric Utility ",49-9051
"Lineworkers, Electrical ",49-9051
Linguists,19-3099
Linoleum Installers,47-2042
Liquid Natural Gas Plant Operators,53-7071
Liquid Waste Treatment Plant Operators,51-8031
Literary Agents,13-1011
Livestock Buyers,13-1021
"Loaders, Barge ",53-7121
"Loaders, Coke",53-7033
"Loaders, Rail Car  ",53-7121
"Loaders, Ship",53-7121
"Loaders, Tank Car",53-7121
"Loaders, Truck",53-7121
Loading Machine Operators,53-7032
"Loading Machine Operators, Underground Mining",53-7033
Loadmasters,53-1011
Loan Clerks,43-4131
Loan Counselors,13-2071
Loan Interviewers,43-4131
Loan Interviewers and Clerks,43-4130
Loan Interviewers and Clerks,43-4131
Loan Officers,13-2072
Loan Processors,43-4131
Loan Reviewers,13-2072
Loan Servicing Officers,13-2072
Loan Underwriters,13-2072
Lobby Attendants,39-3031
Lobbyists,27-3031
Lock and Dam Operators,53-6011
Lock Operators,53-6011
Lock Tenders,53-6011
Locker Room Attendants,39-3093
"Locker Room, Coatroom, and Dressing Room Attendants",39-3093
Locksmith Helpers,49-9098
Locksmiths,49-9094
Locksmiths and Safe Repairers,49-9094
Locomotive Electricians,49-2093
Locomotive Engineers,53-4011
Locomotive Engineers and Operators,53-4010
Locomotive Firers,53-4012
Lodging Managers,11-9080
Lodging Managers,11-9081
Loft Workers,51-7031
Log Check Scalers,45-4023
Log Graders,45-4023
Log Graders and Scalers,45-4023
Log Haulers,45-4022
Log Ropers,45-4029
Log Scalers,45-4023
Logging Equipment Operators,45-4022
Logging Tractor Operators,45-4022
Logging Truck Drivers,53-3032
Logging Workers,45-4020
"Logging Workers, All Other",45-4029
Logisticians,13-1080
Logisticians,13-1081
Logistics Analysts,13-1081
Logistics Managers,11-3071
Logistics Planners,13-1081
Logistics Specialists,13-1081
Long Distance Operators,43-2021
Long Wall Shear Operators,47-5042
Looping Machine Operators,51-6063
Lounge Hostesses,35-9031
Lounge Hosts,35-9031
LPNs,29-2061
Lumber Kiln Operators,51-9051
Lumber Stacker Operators,45-4022
Lumberjacks,45-4021
Lunchroom Attendants,35-9011
LVNs,29-2061
M1A1 Tank Crewmen,55-3013
"Machine Assemblers, Other",51-2031
Machine Builders,51-2031
Machine Erectors,49-9044
Machine Feeders,53-7063
Machine Feeders and Offbearers,53-7063
Machine Gunners,55-3016
Machine Offbearers,53-7063
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",51-4030
Machined Parts Quality Inspectors,51-9061
Machinery Dismantlers,49-9044
Machinery Maintenance Workers,49-9041
Machinist Supervisors,51-1011
Machinists,51-4040
Machinists,51-4041
"Machinists, Automotive ",51-4041
"Machinists, Gear ",51-4041
"Machinists, Production ",51-4041
Magazine Designers,27-1011
Magicians,27-2099
Magistrate Judges,23-1023
Magistrates,23-1023
Magnetic Resonance Imaging Technologists,29-2035 
Maids,37-2012
Maids and Housekeeping Cleaners,37-2012
"Mail Carriers, Postal Service",43-5052
"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9050
"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051
"Mail Clerks, Except Postal Service",43-9051
Mail Deliverers,43-5052
Mail Forwarding System Markup Clerks,43-5053
"Mail Machine Operators, Except Postal Service",43-9051
"Mail Processing Machine Operators, Postal Service",43-5053
"Mail Processors, Postal Service",43-5053
"Mail Sorters, Postal Service",43-5053
Mail Superintendents,11-9131
Mailroom Clerks,43-9051
"Maintenance and Repair Workers, General",49-9070
"Maintenance and Repair Workers, General",49-9071
Maintenance Millwrights,49-9044
Maintenance Painters,47-2141
"Maintenance Workers, All Other",49-9099
"Maintenance Workers, General",49-9071
"Maintenance Workers, Helpers",49-9098
"Maintenance Workers, Machinery",49-9043
Maitre D's,35-9031
"Makers, Bagel ",51-3011
"Makers, Brace ",51-9082
"Makers, Brick ",51-9041
"Makers, Candy",51-3092
"Makers, Cheese",51-3092
"Makers, Coat ",51-6052
"Makers, Corsage ",27-1023
"Makers, Die",51-4111
"Makers, Doll ",51-2099
"Makers, Eyeglass ",51-9083
"Makers, Fiberglass Ski ",51-2091
"Makers, Foundry Mold",51-4071
"Makers, Frozen Yogurt ",51-3092
"Makers, Jig Bore Tool ",51-4111
"Makers, Key ",49-9094
"Makers, Metal Gauge ",51-4111
"Makers, Metal Mock Up ",51-4061
"Makers, Peanut Butter ",51-3092
"Makers, Saddle ",51-6041
"Makers, Salad ",35-2021
"Makers, Sandwich ",35-2021
"Makers, Template",51-4061
"Makers, Tool",51-4111
"Makers, Vest ",51-6052
"Makers, Wood Die ",51-7032
"Makers, Yeast ",51-3099
"Makeup Artists, Performance",39-5091
"Makeup Artists, Theatrical",39-5091
"Makeup Artists, Theatrical and Performance",39-5091
Malariologists,19-1041
Management Analysts,13-1110
Management Analysts,13-1111
Management Consultants,13-1111
Management Information Systems Directors,11-3021
Management Occupations,11-0000
Management Psychologists,19-3032
"Managers, Administrative Services",11-3011
"Managers, Advertising",11-2011
"Managers, Air Battle ",55-1011
"Managers, All Other",11-9199
"Managers, Animal Husbandry ",11-9013
"Managers, Apartment ",11-9141
"Managers, Architectural",11-9041
"Managers, Band ",13-1011
"Managers, Bar ",35-1012
"Managers, Benefits",11-3111
"Managers, Building",11-9141
"Managers, Building Rental ",11-9141
"Managers, Carpentry",11-9021
"Managers, Casino ",11-9071
"Managers, Community Association",11-9141
"Managers, Community Service",11-9151
"Managers, Compensation",11-3111
"Managers, Computer Systems",11-3021
"Managers, Condominium Association",11-9141
"Managers, Construction",11-9021
"Managers, Contracting ",11-3061
"Managers, Dairy Farm ",11-9013
"Managers, Delicatessen Department ",41-1011
"Managers, Development",11-3131
"Managers, Distribution",11-3071
"Managers, Distribution Center ",11-3071
"Managers, District Sales ",11-2022
"Managers, E-Learning ",11-3131
"Managers, Engineering",11-9041
"Managers, Engineering Design ",11-9041
"Managers, Export ",11-2022
"Managers, Facilities ",11-3011 
"Managers, Financial",11-3031
"Managers, Fish Hatchery ",11-9013
"Managers, Food Service",11-9051
"Managers, Fundraising",11-2031
"Managers, Funeral Home ",11-9061
"Managers, Funeral Service",11-9061
"Managers, Gaming",11-9071
"Managers, General",11-1021
"Managers, Geophysical ",11-9121
"Managers, Global Engineering ",11-9041
"Managers, Health Services",11-9111
"Managers, Homeowner Association",11-9141
"Managers, Hotel ",11-9081
"Managers, Human Resources",11-3121
"Managers, Industrial Production",11-3051
"Managers, In-Flight Refueling ",55-2011
"Managers, Information Systems",11-3021
"Managers, Internet Marketing ",11-2021
"Managers, Job Analysis",11-3111
"Managers, Job Analysis ",11-3121
"Managers, Labor Training ",11-3131
"Managers, Land",11-9141
"Managers, Leased Housing Unit",11-9141
"Managers, Leasing Property ",11-9141
"Managers, Lodging",11-9081
"Managers, Logistics",11-3071
"Managers, Marketing",11-2021
"Managers, Medical Services",11-9111
"Managers, Mental Health Program ",11-9111
"Managers, Miscellaneous",11-9190
"Managers, Natural Sciences",11-9121
"Managers, Operations",11-1021
"Managers, Orchard ",11-9013
"Managers, Other Agricultural",11-9013
"Managers, Personnel ",11-3121
"Managers, Plant ",11-3051
"Managers, Plumbing",11-9021
"Managers, Position Description",11-3111
"Managers, Position Description ",11-3121
"Managers, Procurement ",11-3061
"Managers, Production Control ",11-3051
"Managers, Promotions",11-2011
"Managers, Property",11-9141
"Managers, Public Relations",11-2031
"Managers, Purchasing",11-3061
"Managers, Radio Station ",11-1021
"Managers, Real Estate",11-9141
"Managers, Records and Information ",11-3011 
"Managers, Regional Sales  ",11-2022
"Managers, Rented Housing Unit",11-9141
"Managers, Retail Trade Merchandising",11-3061
"Managers, Retail Trade Procurement",11-3061
"Managers, Right-Of-Way",11-9141
"Managers, Sales",11-2022
"Managers, Social Science ",11-9199
"Managers, Social Service",11-9151
"Managers, Stage ",27-2012
"Managers, Storage",11-3071
"Managers, Table Games ",11-9071
"Managers, Television Station ",11-1021
"Managers, Training",11-3131
"Managers, Transportation",11-3071
"Managers, Utilities ",11-9199
"Managers, Warehouse ",11-3071
"Managers, Wholesale Merchandising",11-3061
"Managers, Wholesale Procurement",11-3061
Manicurists,39-5092
Manicurists and Pedicurists,39-5092
Mannequin Decorators,27-1026
Manufactured Building and Mobile Home Installers,49-9095
Manufactured Building Installers,49-9095
Manufacturing Directors,11-3051
Manufacturing Engineer,17-2112
Mappers,17-1021
Mapping Technicians,17-3031
Marble and Granite Polishers,51-9021
Marble Ceiling Installers,47-2044
Marble Setters,47-2044
Marine Architects,17-2121
Marine Biologists,19-1023
Marine Chronometer Assemblers,51-2093
Marine Diesel Technicians,49-3031
Marine Divers,49-9092
Marine Drafters,17-3019
Marine Electrician Helpers,47-3013
Marine Electronics Repairers,49-2093
Marine Engineering Professors,25-1032
Marine Engineers,17-2121
Marine Engineers and Naval Architects,17-2120
Marine Engineers and Naval Architects,17-2121
Marine Firefighters,33-2011
Marine Fisheries Technicians,19-4021
Marine Mammal Trainers,39-2011
Marine Oilers,53-5011
Marine Photographers,27-4021
Marine Pipefitter Helpers,47-3015
"Marine Sciences Teachers, Postsecondary",25-1051
Marine Structural Designers,17-2121
"Mariners, Merchant ",53-5011
"Markers, Copy",43-9081
Market Research Analysts,13-1161  
Market Research Analysts and Marketing Specialists,13-1160
Market Research Analysts and Marketing Specialists,13-1161  
Market Research Interviewers,43-4111
Market Research Specialists,13-1161
Marketing Administrators,11-2021
Marketing and Sales Managers,11-2020
Marketing Consultants,13-1161
Marketing Directors,11-2021
Marketing Forecasters,13-1161
Marketing Managers,11-2021
Marketing Professors,25-1011
Marketing Specialists,13-1161  
Marquetry Workers,51-7011
Marriage and Family Therapists,21-1013
Marriage Counselors,21-1013
Marriage Therapists,21-1013
"Marshals, Deputy United States",33-3021
"Marshals, Supervising Fire ",33-1021
"Masons, Cement",47-2051
"Masons, Monument ",47-2022
"Masons, Stucco",47-2161
Massage Therapists,31-9010
Massage Therapists,31-9011
"Masseuses, Swedish ",31-9011
Master Barbers,39-5011
Master Electricians,47-2111
"Masters, Caddy ",39-1021
"Masters, Dance ",27-2032
Material Control Clerks,43-5061
Material Handling Crew Supervisors,53-1021
"Material Movers, Hand",53-7062
"Material Movers, Hand, First-Line Supervisors",53-1021
Material Moving Workers,53-7000
"Material Moving Workers, All Other",53-7199
"Material Moving Workers, Miscellaneous",53-7190
"Material Recording, Scheduling, Dispatching, and Distributing Workers",43-5000
"Material-Moving Machine Operators, First-Line Supervisors",53-1031
"Material-Moving Vehicle Operators, First-Line Supervisors",53-1031
Materials Engineers,17-2130
Materials Engineers,17-2131
Materials Scientists,19-2032
Mates,53-5021
"Mates, First",53-5021
"Mates, Gunner's",55-3014
"Math and Computer Teachers, Postsecondary",25-1020
Mathematical Engineering Technicians,15-2091
Mathematical Science Occupations,15-2000
"Mathematical Science Occupations, All Other",15-2099
"Mathematical Science Occupations, Miscellaneous",15-2090
"Mathematical Science Teachers, Postsecondary",25-1022
Mathematical Statisticians,15-2041
Mathematical Technicians,15-2091
Mathematicians,15-2020
Mathematicians,15-2021
"Mathematicians, Actuarial ",15-2011
Maxillofacial Prosthetics Dentists,29-1024
Maxillofacial Surgeons,29-1022
"Measurers, Recordkeeping",43-5111
Meat Carvers,51-3021
Meat Counter Workers,51-3021
Meat Curers,51-3091
Meat Cutters,51-3021
Meat Graders,45-2041
Meat Packers,51-3023
Meat Trimmers,51-3022
"Meat, Poultry, and Fish Cutters and Trimmers",51-3022
Mechanical Door Repairers,49-9011
Mechanical Drafters,17-3013
Mechanical Engineering Directors,11-9041
Mechanical Engineering Teachers,25-1032
Mechanical Engineering Technicians,17-3027
Mechanical Engineers,17-2140
Mechanical Engineers,17-2141
Mechanical Insulation Workers,47-2132
Mechanical Maintenance Instructors,25-1194
Mechanical Timepiece Repairers,49-9064
"Mechanics, Air Conditioning",49-9021
"Mechanics, Air Valve ",49-9012
"Mechanics, Aircraft",49-3011
"Mechanics, Aircraft Instrument ",49-2091
"Mechanics, Airframe ",49-3011
"Mechanics, Arcade Games ",49-9091
"Mechanics, Auto Glass ",49-3022
"Mechanics, Automatic Door ",49-9011
"Mechanics, Automatic Pilot",49-2091
"Mechanics, Automotive Service",49-3023
"Mechanics, Bicycle ",49-3091
"Mechanics, Boiler ",47-2011
"Mechanics, Boilerhouse ",49-9041
"Mechanics, Bowling Alley ",49-9099
"Mechanics, Building Maintenance ",49-9071
"Mechanics, Bulldozer ",49-3042
"Mechanics, Bus",49-3031
"Mechanics, Certified Marine  ",49-3051
"Mechanics, Combine ",49-3041
"Mechanics, Construction Equipment",49-3042
"Mechanics, Elevator ",47-4021
"Mechanics, Farm Equipment",49-3041
"Mechanics, First-Line Supervisors",49-1011
"Mechanics, Flight Test ",49-3011
"Mechanics, Forklift ",49-3042
"Mechanics, Foundry Equipment ",49-9041
"Mechanics, Garage Door",49-9011
"Mechanics, Golf Cart ",49-3053
"Mechanics, Heating",49-9021
"Mechanics, Heating, Ventilation, and Air Conditioning (HVAC) ",49-9021
"Mechanics, Hybrid Car ",49-3023
"Mechanics, Hydroelectric Machinery ",49-9041
"Mechanics, Industrial Machinery",49-9041
"Mechanics, Industrial Robotics ",49-2094
"Mechanics, Irrigation Equipment ",49-3041
"Mechanics, Mine Car ",49-3043
"Mechanics, Missile Pad ",49-2094
"Mechanics, Mobile Heavy Equipment, Except Engines",49-3042
"Mechanics, Mobile Home ",49-9095
"Mechanics, Motor Boat",49-3051
"Mechanics, Motor Scooter ",49-3052
"Mechanics, Motorcycle",49-3052
"Mechanics, Outboard Motor ",49-3051
"Mechanics, Outdoor Power Equipment",49-3053
"Mechanics, Power Saw ",49-3053
"Mechanics, Public Address System ",49-2094
"Mechanics, Radio ",49-2021
"Mechanics, Rail Signal ",49-9097
"Mechanics, Refrigeration",49-9021
"Mechanics, RV ",49-3092
"Mechanics, Safe and Vault ",49-9094
"Mechanics, School Bus ",49-3031
"Mechanics, Slot Machine ",49-9091
"Mechanics, Small Engines, Other",49-3053
"Mechanics, Surgical Instrument ",49-9062
"Mechanics, Tractor Trailer ",49-3031
"Mechanics, Truck",49-3031
"Mechanics, Wind Turbine ",49-9081
Media and Communication Equipment Workers,27-4000
"Media and Communication Equipment Workers, All Other",27-4099
"Media and Communication Equipment Workers, Miscellaneous",27-4090
Media and Communication Workers,27-3000
"Media and Communication Workers, All Other",27-3099
"Media and Communication Workers, Miscellaneous",27-3090
"Media Equipment Workers, All Other",27-4099
"Media Workers, All Other",27-3099
Mediation Commissioners,23-1022
Mediators,23-1022
Medical and Clinical Laboratory Technicians,29-2012
Medical and Clinical Laboratory Technologists,29-2011
Medical and Health Services Managers,11-9110
Medical and Health Services Managers,11-9111
Medical Appliance Technicians,51-9082
Medical Assistants,31-9092
Medical Equipment Preparers,31-9093
Medical Equipment Repairers,49-9062
Medical Estheticians,39-5094
Medical Laboratory Technicians,29-2012
Medical Laboratory Technologists,29-2011
Medical Orderlies,31-1015
Medical Photographers,27-4021
Medical Records Administrators,11-9111
Medical Records and Health Information Technicians,29-2070
Medical Records and Health Information Technicians,29-2071
Medical Records Library Professors,25-1082
Medical Records Specialists,29-2071
Medical Records Technicians,29-2071
Medical Scientists,19-1040
"Medical Scientists, Except Epidemiologists",19-1042
Medical Secretaries,43-6013
Medical Services Managers,11-9111
Medical Stenographers,31-9094
Medical Transcribers,31-9094
Medical Transcriptionists,31-9094
Medical Writers,27-3042
"Medical, Dental, and Ophthalmic Laboratory Technicians",51-9080
Medicare Correspondence Representatives,43-4021
Medicare Interviewers,43-4061
Meeting Planners,13-1121
"Meeting, Convention, and Event Planners",13-1120
"Meeting, Convention, and Event Planners",13-1121
"Members, Air Crew",55-3011
"Members, City Council ",11-1031
"Members, Tribal Council ",11-1031
Membership Solicitors,41-3099
Memorial Marker Designers,27-1029
"Menders, Fabric, Except Garment",49-4093
Mental Health and Substance Abuse Social Workers,21-1023
Mental Health Counselors,21-1014
Mental Health Orderlies,31-1013
Mental Health Program Managers,11-9111
Mental Health Social Workers,21-1023
Mental Health Technicians,29-2053
Merchandise Buyers,13-1022
Merchandise Displayers,27-1026
Merchandise Displayers and Window Trimmers,27-1026
Merchant Mariners,53-5011
Mess Attendants,35-3021
Mess Cooks,35-2012
Messengers,43-5021
"Messengers, Bicycle ",43-5021
Metal Alloy Scientists,19-2032
Metal Arts Production Artists,27-1012
Metal Casters,51-4052
Metal Computer Numerically Controlled Machine Tool Programmers ,51-4012
Metal Computer-Controlled Machine Tool Operators,51-4011
"Metal Cutting, Punching, and Press Machine Setters, Operators, and Tenders",51-4031
Metal Die Finishers,51-4111
"Metal Drilling and Boring Machine Tool Setters, Operators, and Tenders",51-4032
Metal Engravers,51-9194
"Metal Extruding and Drawing Machine Setters, Operators, and Tenders",51-4021
"Metal Forging Machine Setters, Operators, and Tenders ",51-4022
"Metal Furnace Operators, Tenders, Pourers, and Casters",51-4050
Metal Gauge Makers,51-4111
Metal Grinders,51-4033
"Metal Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders",51-4033
"Metal Heat Treating Equipment Setters, Operators, and Tenders",51-4191
"Metal Lathe and Turning Machine Tool Setters, Operators, and Tenders",51-4034
Metal Layout Workers ,51-4192
"Metal Milling and Planing Machine Setters, Operators, and Tenders",51-4035
Metal Milling Machine Operators,51-4035
Metal Mock Up Makers,51-4061
Metal Model Makers ,51-4052
"Metal Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders",51-4072
"Metal Multiple Machine Tool Setters, Operators, and Tenders",51-4081
Metal Numerical Control Programmers,51-4012
Metal Numerical Tool Programmers,51-4012
Metal Patternmakers,51-4061
Metal Pickling Machine Operators,51-9192
Metal Pickling Machine Tenders,51-9192
"Metal Plating and Coating Machine Setters, Operators, and Tenders",51-4193
Metal Pourers,51-4052
Metal Pourers and Casters,51-4052
Metal Punch Press Operators,51-4031
Metal Rivet Machine Operators,51-4199
"Metal Rolling Machine Setters, Operators, and Tenders",51-4023
Metal Slitters,51-4031
Metal Workers and Plastic Workers,51-4000
"Metal Workers and Plastic Workers, All Other",51-4199
"Metal Workers and Plastic Workers, Miscellaneous",51-4190
"Metal Workers, All Other",51-4199
Metallographers,17-2131
Metallurgical Engineering Technician,17-3029
Metallurgical Engineers,17-2131
Metallurgical Scientists,19-2032
Metallurgists,17-2131
Metal-Refining Furnace Operators,51-4051
Metal-Refining Furnace Operators and Tenders,51-4051
Metal-Refining Furnace Tenders,51-4051
Meteorological Aide,19-4099
Meteorologists,19-2021
Meter Maids,33-3041
"Meter Readers, Utilities",43-5040
"Meter Readers, Utilities",43-5041
"Methodologists, Survey ",19-3022
Microbiologists,19-1022
"Microbiologists, Public Health ",19-1022
Microfilm Clerks,43-4121
Middle School Principals,11-9032
Middle School Science Teachers,25-2022
Middle School Special Education Teachers,25-2053
Middle School Teachers for Students with Moderate Intellectual Disabilities,25-2053
"Middle School Teachers, Except Special and Career/Technical Education",25-2022
Middle School Vocational Education Teachers,25-2023
"Midwives, Certified Nurse (CNM)",29-1161
"Midwives, Nurse",29-1161
Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,55-3000
Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,55-3010
"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",55-3019
Military Officer Special and Tactical Operations Leaders,55-1000
Military Officer Special and Tactical Operations Leaders,55-1010
"Military Officer Special and Tactical Operations Leaders, All Other",55-1019
"Military Officer Special Operations Leaders, All Other",55-1019
"Military Officer Tactical Operations Leaders, All Other",55-1019
