BLS codes,Occupation Name,Category Label,Probability of Computerisation,Assisting and caring for others,Persuasion,Negotiation,Social perceptiveness,Fine arts,Originality,Manual dexterity,Finger dexterity,Cramped work space,Employment in Thousands,Income (Thousands USD),High school diploma or equivalent,Some college, no degree,Associate's degree,Bachelor's degree,Master's degree,Training set automatable labels
51-9031_,Cutters and Trimmers Hand,11,0.6352,26,23,25,36,22,18,45,46,20,0.0174,24.41,66,21.2,6.9,3.4,0.4,0.1,
49-9071_,Maintenance and Repair Workers General,10,0.63563,60,23,25,36,0,30,48,50,55,1.289,34.73,85.9,42.9,17,6.7,1.1,0.3,
23-1021_,Administrative Law Judges Adjudicators and Hearing Officers,3,0.63595,31,52,52,55,0,45,7,29,4,0.0192,85.5,99.9,99.8,99.8,99.8,99,96.5,
43-5081_,Stock Clerks and Order Fillers,7,0.64019,34.5,33.5,31,34,0,19.25,28.5,23.25,28,1.7874,21.29,84.3,38.6,14.9,8.5,1.3,0.3,
51-8012_,Power Distributors and Dispatchers,11,0.64404,36,39,41,45,0,43,21,38,20,0.0103,68.9,97.6,61.9,28.5,14.9,2.2,0.3,
47-2132_,Insulation Workers Mechanical,9,0.64464,40,27,29,37,0,32,43,43,85,0.0283,37.65,68.1,24.6,8.2,4.2,0.4,0.3,
19-4061_,Social Science Research Assistants,2,0.64603,27,38,40.5,44.5,5.5,45.5,3.5,35,4,0.0297,37.23,97.4,79.4,55.5,43.5,14.2,4.2,
51-4041_,Machinists,11,0.64631,25,36,30,39,0,45,48,52,16,0.3704,38.52,88.4,40,12.7,3.5,0.4,0.1,
15-1150_,Computer Support Specialists,2,0.64856,41,39,39,45,0,41,37,39,32,0.6071,46.26,99,86.9,57.5,41.7,8.2,0.8,
25-4021_,Librarians,3,0.64945,37,45,46,50,21,43,27,37,17,0.1561,54.5,99.9,99.7,90.3,85.9,62.2,4.5,
49-2097_,Electronic Home Entertainment Equipment Installers and Repairers,10,0.64957,40,39,30,34,0,41,46,55,34,0.0368,32.94,91.7,56.6,25.6,11.1,1.7,0.7,
49-9021_,Heating Air Conditioning and Refrigeration Mechanics and Installers,10,0.64969,34.5,36.5,32,41,0,36,41,49,79.5,0.2678,42.53,87.1,44.3,16.2,5,0.9,0.3,
53-7041_,Hoist and Winch Operators,12,0.65101,44,32,30,32,0,30,39,39,80,0.0028,37.67,81.5,33.8,6.5,3.2,0.9,0.3,
37-2021_,Pest Control Workers,5,0.6603,36,45,37,36,0,39,38,39,58,0.0684,30.34,89,46.1,16.4,9.8,1.3,0.2,
51-9198_,Helpers--Production Workers,11,0.66186,27,16,18,34,0,20,43,41,44,0.3951,22.45,66,22.9,8.6,5.2,0.7,0.1,
43-9111_,Statistical Assistants,7,0.66227,31,36,36,36,0,45,23,38,0,0.0166,34.53,98.7,77.3,43.5,30.3,6.2,0.8,
37-2011_,Janitors and Cleaners Except Maids and Housekeeping Cleaners,5,0.66288,30,25,21,32,0,20,34,36,40,2.3104,22.21,70.8,26.3,9.7,5,0.9,0.3,
49-3051_,Motorboat Mechanics and Service Technicians,10,0.66409,39,29,25,36,0,29,46,50,84,0.0208,35.6,83.2,34.6,10.6,4.2,0.8,0.3,
51-9196_,Paper Goods Machine Setters Operators and Tenders,11,0.66631,48,23,23,36,0,30,41,43,72,0.0909,34.13,81.8,27.4,7.9,3.8,0.6,0.1,
51-4071_,Foundry Mold and Coremakers,11,0.66677,17,25,23,30,0,20,54,48,52,0.0102,30.5,78.2,28,7.8,3.2,0.2,0.1,
19-2021_,Atmospheric and Space Scientists,2,0.66783,25,43,41,45,0,45,0,13,13,0.0095,87.78,100,100,90.9,86.9,39,14.9,
53-3021_,Bus Drivers Transit and Intercity,12,0.66896,63,27,27,32,0,27,34,34,38,0.1863,35.52,88.5,41.2,14.3,7.4,1.5,0.3,1
33-9092_,Lifeguards Ski Patrol and Other Recreational Protective Service Workers,5,0.67153,74,37,29,45,0,29,21,18,12,0.1215,18.84,89.3,58.6,35.2,26.4,5.2,0.6,
49-9041_,Industrial Machinery Mechanics,10,0.67226,33,34,25,34,0,38,54,52,68,0.2871,45.42,88.1,44.4,17.2,5.2,0.5,0.1,
43-5052_,Postal Service Mail Carriers,7,0.67514,29,29,23,39,0,20,43,41,38,0.3167,53.86,97.4,60.6,24.5,13.5,1.3,0.2,
47-5071_,Roustabouts Oil and Gas,9,0.67586,48,21,21,32,0,29,43,41,70,0.0527,31.77,68.8,27.1,8.4,2.7,-1.42E-14,-1.42E-14,
47-2011_,Boilermakers,9,0.67975,44,29,29,41,0,34,45,46,70,0.0198,54.64,86.3,32.1,9.6,3.4,0.1,0.1,
17-3013_,Mechanical Drafters,2,0.6845,20,32,29,39,0,46,25,50,5,0.0674,48.81,98.4,85.9,56.3,24.5,4.2,0.6,
29-2021_,Dental Hygienists,4,0.68482,66,39,30,43,0,32,50,54,31,0.1818,68.25,99.6,97,91.5,35,5.1,3,
53-3033_,Light Truck or Delivery Services Drivers,12,0.68741,34,27,27,32,0,23,43,34,61,0.856,28.63,79.8,30.5,9.8,5,0.8,0.2,1
37-2012_,Maids and Housekeeping Cleaners,5,0.68793,44,27,23,30,0,21,34,30,24,1.4273,19.3,58.7,19,7.4,4.4,0.8,0.3,0
51-9122_,Painters Transportation Equipment,11,0.69408,31,27,25,34,0,23,46,48,63,0.0462,39.04,72.7,25.4,8.3,3.6,0.6,0.2,
43-4061_,Eligibility Interviewers Government Programs,7,0.69552,61,43,43,50,0,36,13,29,23,0.1257,39.96,98.9,82,53.1,39.1,5.5,0.7,
49-3093_,Tire Repairers and Changers,10,0.69583,36,27,29,30,0,23,46,45,57,0.099,23.17,69.6,23.9,8.2,4.1,0.6,0.2,
51-3092_,Food Batchmakers,11,0.70043,35,23,23,39,0,21,43,34,37,0.0987,24.64,75.9,28.4,10.6,5.2,0.6,1.42E-14,
49-2091_,Avionics Technicians,10,0.70258,33,37,36,43,0,41,48,52,41,0.0186,52.32,97.8,72.7,32,11.1,1.2,0.1,
49-3011_,Aircraft Mechanics and Service Technicians,10,0.70552,37,37,34,41,0,38,59,59,58,0.1238,53.42,96.9,67.3,31.4,11,1.3,0.2,
53-2022_,Airfield Operations Specialists,12,0.70628,43,43,43,43,0,41,32,32,20,0.0069,45.08,99.4,84.8,46.8,32.4,3.3,0.4,
51-8093_,Petroleum Pump System Operators Refinery Operators and Gaugers,11,0.70884,38,34,36,37,0,38,43,41,56,0.0442,60.04,92.1,50.5,19.8,9.2,1,0,
47-4799_,Construction and Related Workers All Other,9,0.70956,39.5,36.5,30.5,34,0,36,38,42,65,0.0453,34.5,75.4,31,10.2,5.8,1.1,0.3,
29-2081_,Opticians Dispensing,4,0.71059,54,43,43,45,0,39,45,50,13,0.0626,32.94,97.2,67.8,33.7,15.8,2.3,1.5,
51-6011_,Laundry and Dry-Cleaning Workers,11,0.71184,32,21,23,34,0,20,34,38,23,0.2252,19.54,63.1,21.7,8.9,5.7,1,0.3,
39-3091_,Amusement and Recreation Attendants,5,0.7163,56,36,25,34,0,25,30,29,34,0.2613,18.45,91,58.9,31.8,23.5,5.6,1,
31-9095_,Pharmacy Aides,5,0.71686,58,30,23,39,0,25,32,39,29,0.0508,21.43,95.2,66.3,28.2,11.6,2.6,1.2,
47-3016_,Helpers--Roofers,9,0.71917,51,25,25,30,0,25,45,43,44,0.0127,23.32,56.2,19.9,6.9,3.6,0.6,0.1,
53-7121_,Tank Car Truck and Ship Loaders,12,0.7206,52,30,32,34,0,29,43,41,57,0.0104,42.78,75.6,22.9,4.1,1.7,-0.1,-0.1,
49-9031_,Home Appliance Repairers,10,0.72249,44,30,29,39,0,30,45,52,70,0.0477,34.73,86.4,43.7,16.2,6.9,1.5,0.4,
47-2031_,Carpenters,9,0.72398,42.5,35.5,34.5,34,0,36,50,46.5,58.5,1.0017,39.53,75.3,31.9,12.3,7.2,1.1,0.2,
27-3012_,Public Address System and Other Announcers,3,0.72485,30,37,36,46,15,43,34,36,22,0.0117,27.91,94.7,74.8,45.7,37.6,5.9,1.2,
51-6063_,Textile Knitting and Weaving Machine Setters Operators and Tenders,11,0.72567,20,25,20,27,0,21,45,52,46,0.0225,25.87,69.8,18.8,6,3.5,0.8,0.2,
11-3011_,Administrative Services Managers,1,0.72613,45,46,48,52,0,41,21,37,12,0.2543,77.89,97.8,78.3,50,38.2,10.5,1.4,
47-2121_,Glaziers,9,0.72841,20,27,23,36,0,20,39,45,31,0.0419,36.64,79.6,27.7,7.5,3.6,0.6,0.1,
51-2021_,Coil Winders Tapers and Finishers,11,0.73188,28,25,23,36,0,20,43,45,22,0.0151,28.65,78.5,29.6,12,5.7,0.7,0.2,
49-3031_,Bus and Truck Mechanics and Diesel Engine Specialists,10,0.7322,36,36,32,37,0,32,52,54,78,0.2422,40.85,83.2,34.6,12.4,2.8,0.5,0.2,
49-2011_,Computer Automated Teller and Office Machine Repairers,10,0.73564,42,39,34,43,0,39,41,46,38,0.1462,37.28,97.6,77,44.1,23.2,3.7,0.4,
39-9021_,Personal Care Aides,5,0.73599,63,30,29,43,0,27,25,34,24,0.861,19.64,78.4,41.4,17.5,10.4,2.1,0.5,
27-4012_,Broadcast Technicians,3,0.7378,28,30,20,41,11,43,34,45,24,0.0367,35.12,97.7,78.8,49.7,35,4.7,0.7,
47-3013_,Helpers--Electricians,9,0.74137,35,18,16,29,0,29,54,45,77,0.0735,27.22,56.2,19.9,6.9,3.6,0.6,0.1,
11-9131_,Postmasters and Mail Superintendents,1,0.74537,46,50,46,48,0,41,0,32,6,0.0245,60.3,98.6,67.8,31.4,20.3,4,0.3,
47-2044_,Tile and Marble Setters,9,0.74567,15,36,39,37,0,39,43,41,72,0.0587,38.11,66.1,22.8,7.4,4.2,0.5,0.2,
47-2141_,Painters Construction and Maintenance,9,0.74916,33,25,21,39,0,25,41,43,64,0.3905,34.28,66.8,27,11.4,7.4,1.3,0.3,
53-6061_,Transportation Attendants Except Flight Attendants,12,0.75182,63,36,34,45,0,32,36,36,27,0.0248,20.93,95.4,72.3,40.6,29.7,3.4,0.6,
17-3022_,Civil Engineering Technicians,2,0.75312,34,39,37,39,0,43,23,36,9,0.079,46.29,96.4,73.4,40.1,17.2,2.8,0.5,1
49-3041_,Farm Equipment Mechanics and Service Technicians,10,0.75478,18,34,30,36,0,36,50,54,82,0.0329,33.64,84.7,37.2,13.5,3.8,0.6,0.1,
25-4011_,Archivists,3,0.75885,29,39,37,43,27,43,16,34,19,0.0061,45.2,99,93.2,84.3,80.3,47.8,9,
51-9011_,Chemical Equipment Operators and Tenders,11,0.75935,49,32,27,41,0,36,43,43,42,0.0474,45.15,90,49.2,21.6,14.1,2.5,0.7,
49-2092_,Electric Motor Power Tool and Related Repairers,10,0.76183,28,39,34,37,0,39,55,59,57,0.0198,36.17,88.9,49,22.3,8.2,1.2,0.5,
45-4021_,Fallers,8,0.76488,41,30,25,27,0,25,48,39,52,0.0096,34.47,62.8,17.3,6.4,3.1,0.7,0.3,
19-4091_,Environmental Science and Protection Technicians Including Health,2,0.76527,28,45,41,46,0,41,37,39,41,0.0296,41.38,97.4,79.4,55.5,43.5,14.2,4.2,
49-9094_,Locksmiths and Safe Repairers,10,0.76534,39,29,25,30,0,34,41,54,66,0.0257,35.55,89.9,44.9,18.3,10.2,1.6,0.2,
37-3013_,Tree Trimmers and Pruners,5,0.76574,43,37,34,36,0,29,52,48,64,0.0506,30.45,59,25,11,6.8,1.1,0.2,
35-3011_,Bartenders,5,0.7682,42,39,39,43,6,41,39,41,13,0.5032,18.68,90.3,58.4,25.2,16.6,1.8,0.4,
13-1023_,Purchasing Agents Except Wholesale Retail and Farm Products,1,0.76914,32,55,55,52,11,43,13,18,11,0.2842,56.58,98.1,77.6,50,39.4,8.2,0.8,
35-9021_,Dishwashers,5,0.76952,32,25,21,29,0,21,50,34,22,0.5102,18.15,51.1,13.8,5.2,3,0.4,0.1,1
45-3000_,Hunters and Trappers,8,0.77448,20,27,25,30,0,41,46,45,50,0.0326,25.95,91,49,28.3,17.6,5.6,1.6,0
31-9093_,Medical Equipment Preparers,5,0.77562,63,25,20,36,0,29,39,46,22,0.0492,29.49,95.2,66.3,28.2,11.6,2.6,1.2,
51-4031_,Cutting Punching and Press Machine Setters Operators and Tenders Metal and Plastic,11,0.77586,25,36,36,32,0,21,48,48,28,0.1839,29.37,77.2,23.5,6.5,2.9,0.3,0.1,
43-9011_,Computer Operators,7,0.77756,28,37,37,39,0,43,30,46,18,0.0864,36.93,97.2,69.1,38.2,24,4.2,0.4,
51-8092_,Gas Plant Operators,11,0.78017,40,36,37,37,0,36,39,43,55,0.0137,57.2,92.1,50.5,19.8,9.2,1,0,
43-5053_,Postal Service Mail Sorters Processors and Processing Machine Operators,7,0.78504,38,27,25,41,0,23,45,38,36,0.142,53.08,96.8,62.4,27.5,16.9,2,0.3,
53-3032_,Heavy and Tractor-Trailer Truck Drivers,12,0.7863,37,32,27,34,0,29,45,43,68,1.6048,37.77,79.8,30.5,9.8,5,0.8,0.2,
39-5093_,Shampooers,5,0.78691,46,23,23,37,0,23,41,39,20,0.0223,18.27,79.7,41.7,18.1,10.6,1.6,0.6,
47-2081_,Drywall and Ceiling Tile Installers,9,0.78731,38,29,0,37,0,30,43,45,68,0.1067,37.32,53.9,15.3,4.5,2.1,0.3,0.1,
49-9098_,Helpers--Installation Maintenance and Repair Workers,10,0.79127,43,27,21,32,0,29,43,45,60,0.125,24.26,63,22.4,7.9,3.9,0.8,0.2,
49-3052_,Motorcycle Mechanics,10,0.79185,43,36,34,37,0,38,52,50,36,0.018,31.98,83.2,34.6,10.6,4.2,0.8,0.3,
51-2011_,Aircraft Structure Surfaces Rigging and Systems Assemblers,11,0.79374,25,30,27,34,0,36,50,54,71,0.0363,44.82,80.6,41.6,14.6,6.3,0.6,0.1,
45-4022_,Logging Equipment Operators,8,0.79428,42,29,25,29,0,25,41,34,45,0.0351,32.39,62.8,17.3,6.4,3.1,0.7,0.3,
47-2042_,Floor Layers Except Carpet Wood and Hard Tiles,9,0.79482,34,36,32,32,0,30,45,39,71,0.0176,36.1,66.1,22.8,7.4,4.2,0.5,0.2,
39-5011_,Barbers,5,0.79731,50,30,27,36,7,39,43,45,9,0.0622,23.81,84.6,38.6,11,4.5,1.2,0.7,
47-5011_,Derrick Operators Oil and Gas,9,0.80371,32,29,30,39,0,29,52,48,70,0.0189,43.47,75.3,27,8.8,4.4,0.7,-1.42E-14,
35-2011_,Cooks Fast Food,5,0.8053,44,29,25,37,0,23,39,29,19,0.5304,18.1,66.6,24,8.9,4.7,0.6,0.1,1
43-9022_,Word Processors and Typists,7,0.80623,47,27,21,36,0,23,23,34,10,0.1153,33.4,97.4,64.2,29.7,16.3,2.7,0.6,
17-3012_,Electrical and Electronics Drafters,2,0.80759,25,38,31.5,40,0,44,15,36.5,4.5,0.0292,53.02,98.4,85.9,56.3,24.5,4.2,0.6,1
17-3024_,Electro-Mechanical Technicians,2,0.80845,18.5,19.5,32,41,0,23,51,58,46.5,0.0164,49.55,96.4,73.4,40.1,17.2,2.8,0.5,
51-9192_,Cleaning Washing and Metal Pickling Equipment Operators and Tenders,11,0.80886,42,25,23,29,0,25,39,41,42,0.0177,25.66,70.1,20.8,6.5,2.9,0.2,-0.1,
11-9141_,Property Real Estate and Community Association Managers,1,0.81014,42,50,54,46,0,41,0,0,5,0.3039,51.48,94.7,73.4,46.2,38,10,2.2,
43-6013_,Medical Secretaries,7,0.81463,65,30,32,41,0,30,20,37,5,0.5087,30.53,97.5,64.7,29.8,16.7,2.4,0.3,
51-6021_,Pressers Textile Garment and Related Materials,11,0.81464,13,23,21,30,0,21,43,43,16,0.0578,19.4,52.7,14.8,5.5,3.5,0.8,0.4,
51-2031_,Engine and Other Machine Assemblers,11,0.81514,26,27,25,32,0,25,46,48,57,0.0337,36.31,88.2,34.6,10.5,3.5,0.6,0.1,
49-2098_,Security and Fire Alarm Systems Installers,10,0.81581,22,29,0,39,0,39,43,43,56,0.0638,38.5,92.1,53.8,23.6,9.6,1.1,0.1,
49-9045_,Refractory Materials Repairers Except Brickmasons,10,0.81583,27,25,27,34,0,27,46,45,66,0.0021,42.35,88.1,44.4,17.2,5.2,0.5,0.1,
39-2021_,Nonfarm Animal Caretakers,5,0.81797,46,27,25,32,0,25,30,29,33,0.1891,19.55,88.6,52.1,25.8,17.3,2.5,0.8,
47-2211_,Sheet Metal Workers,9,0.81802,31,27,27,29,0,37,43,41,57,0.1361,41.71,83.4,35.5,11.4,3.9,0.3,-0.1,1
47-2072_,Pile-Driver Operators,9,0.81952,34,27,27,32,0,30,45,41,67,0.0041,47.86,69.8,29.1,6.8,4.5,1.1,1.1,
47-2021_,Brickmasons and Blockmasons,9,0.82415,37,27,25,29,0,34,48,43,60,0.0892,46.93,62.9,19.9,6.8,3.6,0.5,0.1,
45-3011_,Fishers and Related Fishing Workers,8,0.82533,38,34,45,36,0,32,48,46,62,0.032,25.59,72.9,30.5,14,9.6,1.7,0.6,
47-2221_,Structural Iron and Steel Workers,9,0.8254,33,34,30,39,0,36,52,50,58,0.0598,44.54,82.1,31.7,9.4,3.8,0.2,0.1,
53-4021_,Railroad Brake Signal and Switch Operators,12,0.82558,36,30,25,30,0,30,43,43,64,0.0217,47.67,93.6,42.3,11,5.1,0.4,-1.42E-14,
53-4031_,Railroad Conductors and Yardmasters,12,0.82607,32,36,30,45,0,38,36,36,49,0.0408,49.77,97.2,58.4,22,12.2,1,0.2,
35-2012_,Cooks Institution and Cafeteria,5,0.82703,47,37,30,37,0,37,45,41,29,0.4053,22.73,66.6,24,8.9,4.7,0.6,0.1,
53-5011_,Sailors and Marine Oilers,12,0.82872,38,36,36,39,0,34,45,43,58,0.0334,36.26,83.8,41.5,16.4,10,1.5,0.1,
51-9023_,Mixing and Blending Machine Setters Operators and Tenders,11,0.82889,38,34,32,39,0,27,50,43,54,0.1246,32.87,77,29.3,10.6,5.2,0.9,0.2,
47-3011_,Helpers--Brickmasons Blockmasons Stonemasons and Tile and Marble Setters,9,0.83053,41,27,27,32,19,27,48,41,50,0.0294,27.78,56.2,19.9,6.9,3.6,0.6,0.1,
47-4091_,Segmental Pavers,9,0.83067,43,39,37,39,0,39,43,39,21,0.0013,30.43,75.4,31,10.2,5.8,1.1,0.3,
47-2131_,Insulation Workers Floor Ceiling and Wall,9,0.8308,26,30,27,29,0,34,48,41,70,0.0232,31.83,68.1,24.6,8.2,4.2,0.4,0.3,
51-5112_,Printing Press Operators,11,0.831,31,36,32,41,0,37,45,52,55,0.2001,33.68,86.7,36.8,13.6,7.1,0.8,0.1,
53-6031_,Automotive and Watercraft Service Attendants,12,0.83103,30,32,34,32,0,23,41,43,34,0.0863,19.54,78.7,32.1,13.1,7.1,1.1,0.2,
47-4071_,Septic Tank Servicers and Sewer Pipe Cleaners,9,0.83111,37,36,32,36,0,30,48,45,62,0.0253,33.57,77.7,27.8,9.1,4,0.4,0.1,
39-6011_,Baggage Porters and Bellhops,5,0.83295,49,25,25,34,0,25,34,32,22,0.046,20.27,86.7,51.6,23.7,17.2,2.4,0.5,
41-2012_,Gaming Change Persons and Booth Cashiers,6,0.83444,43,34,30,32,0,23,32,36,10,0.0201,23.17,82.8,39,16.3,10.1,1.6,0.2,
51-4023_,Rolling Machine Setters Operators and Tenders Metal and Plastic,11,0.83454,40,30,27,34,0,32,48,50,58,0.0322,36.68,78.7,20.6,5.5,2.4,0.3,1.42E-14,
47-2071_,Paving Surfacing and Tamping Equipment Operators,9,0.83469,35,29,23,27,0,23,37,36,27,0.0516,34.15,62.3,13.4,3.8,1.4,0.3,-0.1,
51-4111_,Tool and Die Makers,11,0.83623,36,23,20,29,0,41,43,48,15,0.0677,46.93,93.2,53.4,19.5,4,0.8,0.4,
17-3023_,Electrical and Electronics Engineering Technicians,2,0.83656,23.5,36.5,36.5,40,0,43,41,47,15.5,0.1511,56.04,96.4,73.4,40.1,17.2,2.8,0.5,
47-2161_,Plasterers and Stucco Masons,9,0.83662,37,27,29,30,0,34,50,41,58,0.0279,37.21,47,13.1,4.6,2.7,0.4,-1.42E-14,
51-4192_,Layout Workers Metal and Plastic,11,0.837,42,29,30,36,0,34,45,45,51,0.0089,39.83,82.9,34.3,11,4.4,0.6,-0.1,
51-4034_,Lathe and Turning Machine Tool Setters Operators and Tenders Metal and Plastic,11,0.83729,25,21,18,32,0,23,41,46,36,0.0419,34.65,81.2,25.8,6,2.7,0.2,-0.1,
33-9032_,Security Guards,5,0.83939,59,36,30,36,0,29,32,32,17,1.0357,23.92,90.4,54,23.8,14.2,2.6,0.5,
51-6052_,Tailors Dressmakers and Custom Sewers,11,0.83974,42,30,32,37,0,38,43,54,30,0.0472,26.56,73.3,37.8,20.9,14.1,2.9,0.6,
53-7073_,Wellhead Pumpers,12,0.84437,37,20,13,32,0,25,46,41,41,0.0151,40.64,87,34.4,12.6,6.5,0.5,1.42E-14,
43-9081_,Proofreaders and Copy Markers,7,0.84443,42,20,18,34,0,23,16,0,8,0.014,31.36,97.9,77.5,55.7,48.8,11.1,1.6,
33-3041_,Parking Enforcement Workers,5,0.84498,39,29,32,36,0,23,30,30,16,0.0098,35.39,95.4,55.8,25.2,15.5,1.9,0.3,
53-7062_,Laborers and Freight Stock and Material Movers Hand,12,0.84513,36,29,30,34,0,27,48,41,53,2.0682,23.46,77.4,28.7,9.7,5.1,0.7,0.1,
41-4012_,Sales Representatives Wholesale and Manufacturing Except Technical and Scientific Products,6,0.84878,24,55,55,48,0,43,16,27,12,1.43,52.44,97,78.7,55.2,47.1,7.3,0.7,
43-5041_,Meter Readers Utilities,7,0.84989,41,34,34,34,0,32,36,36,54,0.0405,34.82,93.7,49.4,17.8,8,0.8,0.2,1
51-8013_,Power Plant Operators,11,0.85057,36,29,27,39,0,38,43,38,39,0.0405,63.08,97.6,61.9,28.5,14.9,2.2,0.3,
51-8091_,Chemical Plant and System Operators,11,0.85086,43,32,30,36,0,34,41,43,47,0.0433,55.49,92.1,50.5,19.8,9.2,1,0,
47-5021_,Earth Drillers Except Oil and Gas,9,0.85174,25,29,30,29,0,27,48,43,60,0.0178,39.35,79.8,25.9,8.2,4.6,0.1,1.42E-14,
19-4051_,Nuclear Technicians,2,0.85212,35.5,20.5,34,36.5,0,35.5,34,39,52.5,0.0071,68.09,96.9,73.6,49.9,30.1,6.1,2.8,
43-6011_,Executive Secretaries and Executive Administrative Assistants,7,0.85938,54,39,37,46,0,37,0,36,1,1.2361,43.52,97.5,64.7,29.8,16.7,2.4,0.3,
51-8099_,Plant and System Operators All Other,11,0.85944,42,37,34,41,0,34,43,45,47,0.0113,51.98,92.1,50.5,19.8,9.2,1,0,
35-3041_,Food Servers Nonrestaurant,5,0.8613,43,25,20,39,0,25,36,32,27,0.2089,19.43,80.1,33.9,13,7.7,1,0.3,
51-7041_,Sawing Machine Setters Operators and Tenders Wood,11,0.86135,36,23,25,36,0,25,43,43,38,0.039,26.18,66.6,17.8,4.9,2.5,0.5,0.1,
53-4041_,Subway and Streetcar Operators,12,0.86265,48,32,32,37,0,27,43,38,31,0.0065,56.88,93.2,50,20.3,10.6,2,0.6,
31-9096_,Veterinary Assistants and Laboratory Animal Caretakers,5,0.86297,47,29,30,39,0,27,37,39,33,0.0732,22.04,95.2,66.3,28.2,11.6,2.6,1.2,
51-9032_,Cutting and Slicing Machine Setters Operators and Tenders,11,0.86314,40,25,23,37,0,29,46,52,51,0.0614,30,66,21.2,6.9,3.4,0.4,0.1,
41-9022_,Real Estate Sales Agents,6,0.86435,51,59,57,50,0,37,16,29,10,0.3675,40.03,98.5,83.7,55,45.3,10.3,1.9,
51-4011_,Computer-Controlled Machine Tool Operators Metal and Plastic,11,0.86477,37,36,29,37,0,39,52,50,27,0.1251,34.73,90.6,46.1,17.3,6.3,1,0.3,1
49-9043_,Maintenance Workers Machinery,10,0.86479,29,27,23,34,0,32,45,45,64,0.0699,38.46,86.4,42.7,16.3,5.4,0.5,0.1,
43-4021_,Correspondence Clerks,7,0.86488,38,41,39,45,0,39,0,43,25,0.0102,33.41,98.4,74.5,42.3,34.6,7.1,1.2,
45-2090_,Miscellaneous Agricultural Workers,8,0.86542,34,31.25,25.25,33,0,24.75,46,41,37.25,0.7464,18.96,42.6,15.9,7.6,4.8,0.8,0.2,
45-4011_,Forest and Conservation Workers,8,0.86745,35,36,30,37,0,32,41,38,58,0.0137,23.9,73.3,43.2,26.2,21.7,3.7,0.8,
51-4052_,Pourers and Casters Metal,11,0.869,44,27,25,32,0,27,43,41,37,0.0115,34.03,84.3,26.5,7.8,3.2,0.5,0.1,
47-2041_,Carpet Installers,9,0.86928,22,27,25,32,0,30,41,41,66,0.0475,36.09,66.1,22.8,7.4,4.2,0.5,0.2,
47-2142_,Paperhangers,9,0.86958,22,27,23,30,0,25,46,45,46,0.0091,37.6,85.7,42.5,14,9.7,1.1,1.42E-14,
13-1021_,Buyers and Purchasing Agents Farm Products,1,0.86984,21,55,50,45,0,43,23,27,12,0.013,54.22,88.9,58.8,36.1,28.1,3,0.4,
51-7021_,Furniture Finishers,11,0.87052,0,30,29,36,0,38,52,46,59,0.0206,27.82,74.1,34.5,16.5,10.8,1.9,0.7,
35-2021_,Food Preparation Workers,5,0.87163,28,20,18,29,0,23,37,36,22,0.8137,19.1,67.2,26.7,11.1,7,1.1,0.3,
47-2043_,Floor Sanders and Finishers,9,0.87194,21,21,21,32,0,27,43,43,57,0.0107,31.34,66.1,22.8,7.4,4.2,0.5,0.2,
53-6021_,Parking Lot Attendants,12,0.87412,55,34,37,32,0,32,36,38,21,0.1251,19.53,79.9,39.6,19.4,12.9,2.1,0.7,1
47-4051_,Highway Maintenance Workers,9,0.87427,39,36,32,36,0,32,50,46,52,0.1485,34.78,83.7,28.5,8.7,3.6,0.4,0.1,
47-2061_,Construction Laborers,9,0.87676,30,29,29,32,0,29,54,43,58,0.9988,29.28,64.1,24.1,9.4,5.6,0.9,0.2,
43-5061_,Production Planning and Expediting Clerks,7,0.87759,35,43,45,43,0,39,14,29,28,0.271,42.22,96.8,69.7,39.5,28.6,6.2,0.5,
51-9141_,Semiconductor Processors,11,0.87878,45,30,27,39,0,30,45,52,42,0.0211,33.13,94.3,50.8,27.6,16.6,2.8,0.1,
17-1021_,Cartographers and Photogrammetrists,2,0.8794,20,39,37,41,0,43,34,45,11,0.0138,54.51,99.9,99.7,86,75.2,15,2.2,
51-4051_,Metal-Refining Furnace Operators and Tenders,11,0.87962,30,25,21,32,0,25,46,41,39,0.0156,38.46,84.3,26.5,7.8,3.2,0.5,0.1,
51-9012_,Separating Filtering Clarifying Precipitating and Still Machine Setters Operators and Tenders,11,0.88012,35,34,29,37,0,29,39,45,53,0.0384,37.84,90,49.2,21.6,14.1,2.5,0.7,
51-6091_,Extruding and Forming Machine Setters Operators and Tenders Synthetic and Glass Fibers,11,0.88066,43,0,0,37,0,32,43,46,45,0.0147,32.4,89.2,26.3,13.4,7.4,0.1,0.1,
47-2053_,Terrazzo Workers and Finishers,9,0.88145,29,30,23,29,0,27,48,46,51,0.0037,38.72,56.2,15.5,4,1.9,0.3,0.1,
51-4194_,Tool Grinders Filers and Sharpeners,11,0.88372,46,32,29,29,0,27,50,52,29,0.0131,34.44,87.2,34.3,12.3,4.8,0.7,0.2,
49-3043_,Rail Car Repairers,10,0.88451,25,29,29,30,0,34,50,52,61,0.0217,47.41,84.7,37.2,13.5,3.8,0.6,0.1,
51-3011_,Bakers,11,0.88775,43,27,25,36,0,38,39,41,17,0.1498,23.45,71.1,30.9,14.1,8.4,1.5,0.4,
31-9094_,Medical Transcriptionists,5,0.88815,33,20,18,39,0,23,29,41,5,0.0951,32.9,95.2,66.3,28.2,11.6,2.6,1.2,1
